Month,product_id,category,customer_id,sale_amount_usd_sum,sale_amount_usd_mean,sale_id_count,sale_ids
1,101,Electronics,1001,2379.36,2379.36,1,[555]
1,101,Electronics,1010,3172.48,3172.48,1,[557]
1,102,Clothing,1005,117.3,117.3,1,[554]
1,102,Clothing,1006,195.5,195.5,1,[553]
1,102,Clothing,1008,39.1,39.1,1,[550]
1,104,Clothing,1009,172.4,172.4,1,[556]
1,105,Sports,1009,19.78,19.78,1,[551]
2,101,Electronics,1010,10310.56,5155.28,2,"[560, 569]"
2,102,Clothing,1002,312.8,312.8,1,[558]
2,105,Sports,1002,138.46,138.46,1,[565]
2,106,Electronics,1001,622.86,622.86,1,[559]
2,106,Electronics,1011,533.88,533.88,1,[571]
2,107,Clothing,1005,469.14,469.14,1,[561]
2,107,Clothing,1006,67.02,67.02,1,[563]
2,107,Clothing,1009,469.14,469.14,1,[564]
2,107,Clothing,1010,402.12,402.12,1,[570]
2,107,Clothing,1011,603.18,603.18,1,[568]
2,108,Electronics,1003,12.56,12.56,1,[562]
3,101,Electronics,1001,7138.08,7138.08,1,[573]
3,101,Electronics,1006,4758.72,4758.72,1,[574]
3,105,Sports,1005,178.02,178.02,1,[572]
3,108,Electronics,1001,75.36,75.36,1,[575]
4,101,Electronics,1001,6344.96,6344.96,1,[582]
4,101,Electronics,1009,793.12,793.12,1,[581]
4,102,Clothing,1009,312.8,312.8,1,[583]
4,104,Clothing,1005,387.9,387.9,1,[577]
4,105,Sports,1001,39.56,39.56,1,[586]
4,106,Electronics,1006,800.82,800.82,1,[578]
4,106,Electronics,1008,800.82,800.82,1,[579]
4,108,Electronics,1001,113.04,113.04,1,[576]
4,108,Electronics,1002,113.04,113.04,1,[585]
5,101,Electronics,1003,1586.24,1586.24,1,[594]
5,102,Clothing,1002,117.3,117.3,1,[588]
5,102,Clothing,1008,195.5,195.5,1,[597]
5,104,Clothing,1008,431.0,431.0,1,[593]
5,105,Sports,1011,98.9,98.9,1,[596]
5,107,Clothing,1005,603.18,603.18,1,[590]
5,107,Clothing,1006,670.2,670.2,1,[592]
5,108,Electronics,1006,25.12,25.12,1,[595]
6,101,Electronics,1006,2379.36,2379.36,1,[603]
6,102,Clothing,1009,39.1,39.1,1,[604]
6,103,Electronics,1010,182.08,182.08,1,[600]
6,104,Clothing,1001,387.9,387.9,1,[598]
6,106,Electronics,1005,711.84,711.84,1,[601]
6,108,Electronics,1002,12.56,12.56,1,[605]
7,101,Electronics,1010,7931.2,7931.2,1,[621]
7,101,Electronics,1011,7138.08,7138.08,1,[614]
7,102,Clothing,1003,39.1,39.1,1,[608]
7,102,Clothing,1006,195.5,195.5,1,[611]
7,104,Clothing,1001,172.4,172.4,1,[618]
7,104,Clothing,1003,517.2,258.6,2,"[612, 613]"
7,104,Clothing,1010,387.9,387.9,1,[615]
7,105,Sports,1005,79.12,79.12,1,[606]
7,105,Sports,1008,79.12,79.12,1,[619]
7,106,Electronics,1010,88.98,88.98,1,[610]
7,107,Clothing,1001,134.04,134.04,1,[616]
7,107,Clothing,1003,134.04,134.04,1,[617]
7,108,Electronics,1011,50.24,50.24,1,[607]
8,101,Electronics,1006,2379.36,2379.36,1,[629]
8,104,Clothing,1002,258.6,258.6,1,[633]
8,104,Clothing,1006,129.3,129.3,1,[627]
8,105,Sports,1006,39.56,39.56,1,[634]
8,106,Electronics,1005,177.96,177.96,1,[635]
8,107,Clothing,1002,804.24,402.12,2,"[623, 631]"
8,107,Clothing,1011,201.06,201.06,1,[628]
8,108,Electronics,1002,125.6,125.6,1,[625]
8,108,Electronics,1003,138.16,69.08,2,"[622, 626]"
8,108,Electronics,1006,75.36,75.36,1,[632]
8,108,Electronics,1011,125.6,125.6,1,[624]
9,101,Electronics,1001,6344.96,6344.96,1,[638]
9,103,Electronics,1010,45.52,45.52,1,[641]
9,107,Clothing,1005,1340.3999999999999,670.1999999999999,2,"[636, 640]"
10,101,Electronics,1002,5551.84,5551.84,1,[642]
10,104,Clothing,1010,301.7,301.7,1,[643]
