sale_id,customer_id,product_id,store_id,campaign_id,sale_date,quantity,sale_amount_usd,discount_amount_usd,payment_method
550,1008,102,404,0,1/6/2024,1,39.1,5.00%,Credit_Card
551,1009,105,403,0,1/6/2024,1,19.78,5.00%,Cash
552,1004,107,404,0,1/16/2024,1,335.1,5.00%,Cash
553,1006,102,406,0,1/16/2024,2,195.5,5.00%,Credit_Card
554,1005,102,405,0,1/25/2024,3,117.3,5.00%,Credit_Card
555,1001,101,401,0,1/25/2024,3,2379.36,10.00%,Cash
556,1009,104,403,0,1/29/2024,1,172.4,2.00%,Cash
557,1010,101,402,0,1/29/2024,1,3172.48,7.00%,Credit_Card
558,1002,102,402,0,2/6/2024,3,312.8,4.00%,Cash
559,1001,106,401,0,2/6/2024,1,622.86,4.00%,Cash
560,1010,101,402,0,2/6/2024,5,6344.96,4.00%,Credit_Card
561,1005,107,405,0,2/6/2024,4,469.14,4.00%,Credit_Card
562,1003,108,403,0,2/8/2024,2,12.56,5.00%,Cash
563,1006,107,406,0,2/8/2024,1,67.02,5.00%,Credit_Card
564,1009,107,403,0,2/9/2024,1,469.14,5.00%,Cash
565,1002,105,402,0,2/9/2024,1,138.46,5.00%,Cash
566,1007,103,405,0,2/24/2024,2,204.84,3.00%,Credit_Card
567,1007,106,405,0,2/24/2024,2,444.9,3.00%,Cash   
568,1011,107,401,0,2/24/2024,3,603.18,7.00%,Cash
569,1010,101,402,0,2/24/2024,4,3965.6,7.00%,Credit_Card
570,1010,107,402,0,2/27/2024,1,402.12,1.00%,Credit_Card
571,1011,106,401,0,2/27/2024,1,533.88,1.00%,Cash
572,1005,105,405,0,3/20/2024,1,178.02,2.00%,Cash
573,1001,101,401,0,3/20/2024,1,7138.08,2.00%,Credit_Card
574,1006,101,406,0,3/25/2024,1,4758.72,2.00%,Credit_Card
575,1001,108,401,0,3/25/2024,1,75.36,2.00%,Cash
576,1001,108,401,0,4/7/2024,2,113.04,7.50%,Cash
577,1005,104,405,0,4/7/2024,2,387.9,2.00%,Credit_Card
578,1006,106,406,0,4/10/2024,2,800.82,3.00%,Cash
579,1008,106,404,0,4/10/2024,1,800.82,3.00%,Cash
